word_id,word,StressPos,OLD20,PLD20,PUP,OUP,LengthOrth,LengthPhon,NormPLD,NormOLD,Duration
40,выгло,1,4.0,4.7,1.0,1.0,5,5,0.94,0.8,0.9631041666666668
104,выньце,1,5.0,5.0,0.8,0.6666666666666666,6,5,1.0,0.8333333333333334,1.0382708333333333
3,выремь,1,5.0,5.0,0.8,0.8333333333333334,6,5,1.0,0.8333333333333334,0.9365
98,галесь,1,4.95,4.0,0.8,0.6666666666666666,6,5,0.8,0.8250000000000001,0.9831875
30,гаслень,2,5.9,5.0,0.6666666666666666,0.2857142857142857,7,6,0.8333333333333334,0.8428571428571429,1.00425
86,гжольты,1,5.4,4.95,0.5,0.2857142857142857,7,6,0.8250000000000001,0.7714285714285715,1.0663125
90,гласпы,1,5.0,5.0,0.8333333333333334,0.5,6,6,0.8333333333333334,0.8333333333333334,1.0708333333333333
140,глека,1,4.0,4.0,0.8,0.6,5,5,0.8,0.8,0.986875
62,глисо,2,3.95,4.0,0.8,1.0,5,5,0.8,0.79,0.9739166666666668
29,гритня,1,5.0,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8333333333333334,1.066375
10,дактон,2,5.0,5.0,0.8333333333333334,0.5,6,6,0.8333333333333334,0.8333333333333334,0.9772083333333332
113,депьял,2,4.95,4.95,0.6666666666666666,0.6666666666666666,6,6,0.8250000000000001,0.8250000000000001,0.9607083333333334
54,десья,2,4.0,4.4,0.8,0.8,5,5,0.8800000000000001,0.8,0.9529583333333334
102,дипа,1,3.0,3.95,0.75,1.0,4,4,0.9875,0.75,0.90325
14,дира,2,3.0,3.25,1.0,1.0,4,4,0.8125,0.75,0.8467291666666666
117,долькшнет,2,7.8,6.95,0.5,0.6666666666666666,9,8,0.86875,0.8666666666666667,1.1362291666666666
19,дрыпля,1,5.0,5.0,0.6666666666666666,0.3333333333333333,6,6,0.8333333333333334,0.8333333333333334,0.9534375
125,дярка,1,4.0,4.0,0.6,0.6,5,5,0.8,0.8,0.9738125
43,ержин,1,4.0,5.0,0.3333333333333333,0.6,5,6,0.8333333333333334,0.8,1.0218541666666667
76,жеглин,2,5.0,5.0,0.6666666666666666,0.5,6,6,0.8333333333333334,0.8333333333333334,0.9612083333333332
24,желсок,2,4.95,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8250000000000001,1.1116666666666666
20,жикно,2,4.0,4.0,0.6,0.6,5,5,0.8,0.8,0.9295
100,журтынь,2,5.55,5.0,0.6666666666666666,0.5714285714285714,7,6,0.8333333333333334,0.7928571428571428,1.059625
105,зейпан,2,5.0,5.0,0.5,0.1666666666666666,6,6,0.8333333333333334,0.8333333333333334,1.0947291666666668
128,зелер,1,4.0,4.0,1.0,0.2,5,5,0.8,0.8,0.980875
73,зула,1,3.0,3.25,0.75,0.25,4,4,0.8125,0.75,0.9625208333333334
60,зутан,2,4.0,4.0,0.6,0.2,5,5,0.8,0.8,0.9798125
9,икруп,2,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.8871458333333333
138,интец,2,4.0,4.0,0.6,0.4,5,5,0.8,0.8,1.0584583333333333
122,каврам,1,5.0,4.95,0.5,0.6666666666666666,6,6,0.8250000000000001,0.8333333333333334,1.038125
88,кадинь,2,4.9,4.05,1.0,0.8333333333333334,6,5,0.8099999999999999,0.8166666666666668,0.9712291666666668
92,кальпон,2,5.5,4.9,0.6666666666666666,0.4285714285714285,7,6,0.8166666666666668,0.7857142857142857,1.0423541666666667
129,кеппет,1,5.0,4.0,0.8,0.6666666666666666,6,5,0.8,0.8333333333333334,1.0564583333333333
71,кеха,1,3.3,4.0,0.75,0.75,4,4,1.0,0.825,0.99825
108,котчох,2,5.0,5.0,0.6666666666666666,0.5,6,6,0.8333333333333334,0.8333333333333334,1.114625
66,кугур,2,3.95,4.3,0.6,0.2,5,5,0.86,0.79,0.914375
83,кулун,2,4.0,4.0,0.8,0.2,5,5,0.8,0.8,0.9578958333333332
80,куше,2,3.55,3.8,1.0,0.25,4,4,0.95,0.8875,0.9504375
11,лазоть,2,4.8,4.0,1.0,0.3333333333333333,6,5,0.8,0.7999999999999999,1.0211041666666667
47,лермей,2,5.0,5.35,0.5,0.3333333333333333,6,6,0.8916666666666666,0.8333333333333334,1.0036458333333331
118,лонрог,2,4.85,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8083333333333332,1.0254583333333334
119,лоур,2,3.8,3.85,0.75,0.75,4,4,0.9625,0.95,0.8524791666666667
23,лоча,1,3.55,3.9,0.75,0.75,4,4,0.975,0.8875,0.9283541666666668
79,люрык,2,4.1,4.25,0.6,0.6,5,5,0.85,0.82,0.9532708333333332
1,малянц,1,5.0,5.0,0.8333333333333334,0.8333333333333334,6,6,0.8333333333333334,0.8333333333333334,1.069229166666667
4,меклим,2,5.0,5.0,0.6666666666666666,0.5,6,6,0.8333333333333334,0.8333333333333334,0.9282291666666668
143,мероть,1,5.0,4.55,0.8,0.8333333333333334,6,5,0.91,0.8333333333333334,0.9911666666666666
124,мистна,1,5.0,4.0,0.8,0.3333333333333333,6,5,0.8,0.8333333333333334,1.0473125
127,найта,1,4.0,4.0,0.8,1.0,5,5,0.8,0.8,0.9554791666666668
25,неворт,1,5.0,5.0,0.8333333333333334,0.8333333333333334,6,6,0.8333333333333334,0.8333333333333334,1.006875
6,нупог,2,4.0,4.0,0.6,0.6,5,5,0.8,0.8,0.98475
35,овог,1,3.0,3.0,1.0,1.0,4,4,0.75,0.75,0.9124583333333334
87,опрыдь,2,5.0,4.0,1.0,0.8333333333333334,6,5,0.8,0.8333333333333334,0.9750208333333332
82,ортонь,2,4.8,4.0,0.8,0.3333333333333333,6,5,0.8,0.7999999999999999,0.8783333333333333
7,осчинь,2,4.85,4.0,0.6,0.6666666666666666,6,5,0.8,0.8083333333333332,1.006875
12,пагочь,1,4.95,4.0,1.0,0.8333333333333334,6,5,0.8,0.8250000000000001,1.0800416666666666
85,пазошь,1,5.0,4.0,0.8,0.6666666666666666,6,5,0.8,0.8333333333333334,1.0775833333333331
15,пелань,2,4.95,4.0,0.8,0.6666666666666666,6,5,0.8,0.8250000000000001,0.936375
106,пестце,1,5.0,4.95,0.8,0.5,6,5,0.99,0.8333333333333334,1.052375
42,пленто,1,5.0,5.0,0.8333333333333334,0.8333333333333334,6,6,0.8333333333333334,0.8333333333333334,1.053604166666667
130,плинка,1,4.95,5.05,0.8333333333333334,0.6666666666666666,6,6,0.8416666666666667,0.8250000000000001,1.0279583333333333
123,плиттер,1,5.85,6.0,0.7142857142857143,0.7142857142857143,7,7,0.8571428571428571,0.8357142857142856,1.0880416666666666
81,полер,1,4.0,4.25,1.0,1.0,5,5,0.85,0.8,0.9456458333333332
48,прекифь,1,5.85,5.0,0.6666666666666666,0.7142857142857143,7,6,0.8333333333333334,0.8357142857142856,1.0573541666666666
94,прена,1,4.0,4.0,0.8,1.0,5,5,0.8,0.8,0.9595416666666666
32,пунцичь,1,6.0,5.0,0.6666666666666666,0.7142857142857143,7,6,0.8333333333333334,0.8571428571428571,1.1477291666666667
107,раква,1,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.9821458333333334
131,рацма,1,4.0,4.35,0.8,0.8,5,5,0.8699999999999999,0.8,1.0716666666666668
41,реплен,2,5.0,5.0,0.6666666666666666,0.3333333333333333,6,6,0.8333333333333334,0.8333333333333334,1.0191666666666668
77,рукса,1,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.9921875
103,свеммо,1,4.95,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8250000000000001,1.1169166666666666
72,сдажка,1,5.0,4.95,0.3333333333333333,0.3333333333333333,6,6,0.8250000000000001,0.8333333333333334,1.1736666666666666
139,сжичка,1,5.0,4.9,0.6666666666666666,0.6666666666666666,6,6,0.8166666666666668,0.8333333333333334,1.0384375
132,сларты,1,5.0,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8333333333333334,1.0516875
46,смилок,2,4.95,5.0,0.6666666666666666,1.0,6,6,0.8333333333333334,0.8250000000000001,1.047
57,стободь,2,5.85,5.0,0.6666666666666666,0.5714285714285714,7,6,0.8333333333333334,0.8357142857142856,1.0523958333333334
39,сцурка,1,5.0,5.0,0.5,0.5,6,6,0.8333333333333334,0.8333333333333334,1.0373333333333334
58,сьюва,1,4.6,4.9,0.4,0.2,5,5,0.98,0.92,1.0611041666666667
97,такслир,2,5.9,6.0,0.7142857142857143,0.7142857142857143,7,7,0.8571428571428571,0.8428571428571429,1.051583333333333
28,теньтефь,2,6.8,5.0,0.6666666666666666,0.375,8,6,0.8333333333333334,0.85,1.1624791666666667
27,тивло,1,4.0,4.6,0.6,0.6,5,5,0.92,0.8,0.9350416666666668
70,тиня,1,3.35,3.3,0.75,1.0,4,4,0.825,0.8375,0.9855416666666666
