is_word,rt,word,is_correct,age,modality,experiment_id,subject,is_outlier_word,is_outlier_subject,is_outlier,rtz_subject,rtz_word,rtz,word_id,Freq(ipm),StressPos,MeanValency,MedianValency,OLD20,PLD20,PUP,OUP,Duration,NormOLD,NormPLD,LengthOrth,LengthPhon
0,1.02353939996101,вуган,1,19,1,1,1101,0,0,0,-0.5148515169361703,-0.9246334307937445,-0.49283408616287083,5,,2,,,4.0,4.0,0.6,0.6,0.9722083333333332,0.8,0.8,5,5
0,1.236603600089438,нупог,1,19,1,1,1101,0,0,0,0.08689876276798807,-0.12689526782502097,0.09817728691822233,6,,2,,,4.0,4.0,0.6,0.6,0.98475,0.8,0.8,5,5
0,1.104016100056469,осчинь,1,19,1,1,1101,0,0,0,-0.2875637944425745,-0.6773637505831392,-0.1798555946702953,7,,2,,,4.85,4.0,0.6,0.6666666666666666,1.006875,0.8083333333333332,0.8,6,5
1,0.9053751000901684,бочка,1,19,1,1,1101,0,0,0,-0.8485790997748877,-0.833546366048723,-0.4394143326621777,100,1.424881636631067,1,0.027027,-0.09167,3.95,3.95,1.0,1.0,0.985666666666666,0.79,0.79,5,5
1,1.132112200022675,щетка,1,19,1,1,1101,0,0,0,-0.20821289455855066,-0.19596921827588512,0.0852180557115395,8,0.99563519459755,1,-0.37683,-0.26401,4.0,4.95,0.833333333333333,0.8,1.05683333333333,0.8,0.825,5,6
1,1.054278200026602,мешок,0,19,1,1,1101,0,0,0,-0.428036925249295,-0.30248483448618324,-0.2105944300646921,117,1.7860412102425542,2,-0.65275,-0.63132,3.95,4.6,1.0,1.0,0.899875,0.79,0.92,5,5
0,0.0860802000388503,транка,0,19,1,1,1101,1,1,1,-3.1624869968730422,-2.4227126649674497,-3.3068727730952703,8,,1,,,4.8,5.0,0.8333333333333334,1.0,1.1100833333333333,0.7999999999999999,0.8333333333333334,6,6
1,1.315844100085087,песок,1,19,1,1,1101,0,0,0,0.31069512558979173,0.7353854922189876,0.4930223920564048,89,1.7427251313046983,2,-0.27102,-0.15244,4.0,4.5,1.0,0.6,0.987770833333333,0.8,0.9,5,5
0,1.835305499960668,икруп,1,19,1,1,1101,0,0,0,1.7777930354321214,1.5981391178330893,1.5783335119575719,9,,2,,,4.0,4.0,0.8,0.8,0.8871458333333333,0.8,0.8,5,5
1,1.743510099942796,ваза,1,19,1,1,1101,0,0,0,1.5185382774623921,1.2201135050905816,1.408220440078654,90,1.155336037465062,1,0.027027,-0.05278,3.85,3.95,1.0,0.5,0.922416666666666,0.9625,0.9875,4,4
