,is_word,rt,word,is_test,is_correct,age,modality,experiment_id,subject
176,0,1.047264899942093,баларь,1,1,19,1,1,1101
177,0,0.8880825000815094,люрык,1,1,19,1,1,1101
178,1,0.8046384999761358,ветер,1,1,19,1,1,1101
179,1,1.070342799997889,глаза,1,1,19,1,1,1101
180,1,0.9020039000315592,волна,1,1,19,1,1,1101
181,0,1.08000269997865,куше,1,1,19,1,1,1101
182,0,1.291305499966256,полер,1,1,19,1,1,1101
183,0,1.064426900004037,ортонь,1,1,19,1,1,1101
184,1,1.062534599914216,солнце,1,1,19,1,1,1101
185,0,1.437761900015175,кулун,1,0,19,1,1,1101
186,1,0.8480036000255495,ложка,1,1,19,1,1,1101
187,1,0.7568587999558076,доска,1,1,19,1,1,1101
188,1,0.8269025000045076,игра,1,1,19,1,1,1101
189,1,0.9735528000164776,завод,1,1,19,1,1,1101
190,0,1.617566199973226,цупка,1,1,19,1,1,1101
191,0,1.299541200045496,пазошь,1,1,19,1,1,1101
192,0,1.22102569998242,гжольты,1,1,19,1,1,1101
193,1,1.320714600034989,цветок,1,1,19,1,1,1101
194,1,1.136544600012712,рука,1,1,19,1,1,1101
195,1,0.8362521999515593,свинья,1,1,19,1,1,1101
196,0,0.914210099959746,опрыдь,1,1,19,1,1,1101
197,0,1.156391899916343,кадинь,1,1,19,1,1,1101
198,1,1.687019099947065,ноготь,1,1,19,1,1,1101
199,0,1.635789600084536,шулкан,1,1,19,1,1,1101
200,0,1.518608999904245,гласпы,1,1,19,1,1,1101
201,1,1.045945600024424,сердце,1,1,19,1,1,1101
202,1,1.057099399971776,ключи,1,1,19,1,1,1101
203,1,1.068137399968691,кресло,1,1,19,1,1,1101
204,1,0.7637827000580728,рыба,1,1,19,1,1,1101
205,1,0.8480769000016153,язык,1,1,19,1,1,1101
206,0,0.7439776000101119,тойза,1,0,19,1,1,1101
207,1,1.231902100029401,песня,1,1,19,1,1,1101
208,0,1.238965100026689,кальпон,1,0,19,1,1,1101
209,0,1.304288499988616,урул,1,1,19,1,1,1101
